speaker,birth_date,date,mp_id,gender,constituency_name,constituency_id,backbencher,surname,ONS ID,Valid votes,Majority,vulnerability,under_30,over_65
Jacob Rees-Mogg,1969-05-24,2015-05-18,4099,M,North East Somerset,3645,True,Rees-Mogg,E14000846,51110,12749,24.94423791821561,33.0736487029154,20.27605355852083
David Cameron,1966-10-09,2015-05-18,1467,M,Witney,3859,False,Cameron,E14001046,58482,25155,43.01323484148969,33.90564903272602,18.38345469989216
Harriet Harman,1950-07-30,2015-05-18,150,F,Camberwell and Peckham,3384,False,Harman,E14000615,51561,25824,50.08436609064992,44.40771085876735,77.85124494913195
Angus Robertson,1969-09-28,2015-05-18,1433,M,Moray,2004,False,Robertson,S14000046,49280,9065,18.39488636363636,34.32659842435286,18.45972452971757
Nigel Dodds,1958-08-20,2015-05-18,1388,M,Belfast North,3315,False,Dodds,N06000002,40593,5326,13.12048875421871,38.612,16.0
Alasdair McDonnell,1949-09-01,2015-05-18,1596,M,Belfast South,3316,True,McDonnell,N06000003,38957,906,2.325641091459814,41.184,13.5
Jonathan Edwards,1976-04-26,2015-05-18,3943,M,Carmarthen East and Dinefwr,3394,False,Edwards,W07000067,39399,5599,14.21102058427879,31.58657771021592,22.35171578977001
Alistair Carmichael,1965-07-15,2015-05-18,1442,M,Orkney and Shetland,2256,True,Carmichael,S14000051,22728,817,3.594684970080957,33.62161919309911,17.96208104951029
Simon Burns,1952-09-06,2015-05-27,46,M,Chelmsford,3404,True,Burns,E14000628,53817,18250,33.91121764498207,37.35582030657156,15.28684170587343
Sheryll Murray,1956-02-04,2015-05-27,4100,F,South East Cornwall,3743,True,Murray,E14000938,50498,16995,33.6547982098301,29.95822738830367,21.7228932074101
David Winnick,1933-06-26,2015-05-27,316,M,Walsall North,3823,True,Winnick,E14001011,36883,1937,5.251741994957026,40.36515477534673,15.5307952875008
Chloe Smith,1982-05-17,2015-05-27,1609,F,Norwich North,3662,True,Smith,E14000863,43592,4463,10.2381170857038,35.28711420459749,19.12263027749794
Mark Spencer,1970-01-20,2015-05-27,4055,M,Sherwood,3727,True,Spencer,E14000924,50698,4647,9.166042052940943,33.9210274917737,18.50015921876658
Keith Vaz,1956-11-26,2015-05-27,338,M,Leicester East,3570,True,Vaz,E14000782,48068,18352,38.17924606807023,42.64190932546995,12.91190563951345
Emily Thornberry,1960-07-27,2015-05-27,1536,F,Islington South and Finsbury,3550,True,Thornberry,E14000764,44270,12708,28.7056697537836,45.63103958852868,89.0644482543641
Seema Malhotra,1972-08-07,2015-05-27,4253,F,Feltham and Heston,3484,False,Malhotra,E14000701,49405,11463,23.20210505009614,44.39837002894714,10.58922975095892
Geraint Davies,1960-05-03,2015-05-27,155,M,Swansea West,3793,True,Davies,W07000047,35156,7036,20.01365343042439,42.98358704814797,17.24227698715724
Gerald Howarth,1947-09-12,2015-05-27,47,M,Aldershot,3289,True,Howarth,E14000530,46191,14901,32.25953107748263,39.7211370066011,12.68066434441215
Gareth Thomas,1967-07-15,2010-06-02,177,M,Harrow West,3518,False,Thomas,E14000732,46603,2208,4.737892410359848,41.3027408438535,11.95315125042
Gareth Thomas,1967-07-15,2010-06-02,177,M,Harrow West,3518,False,Thomas,E14000732,46603,2208,4.737892410359848,41.3027408438535,11.95315125042
Barbara Keeley,1952-03-26,2015-05-27,1588,F,Worsley and Eccles South,3867,False,Keeley,E14001054,42048,5946,14.14098173515982,38.72439893143366,15.46790253379746
Toby Perkins,1970-08-12,2015-05-27,3952,M,Chesterfield,3408,False,Perkins,E14000632,45567,13598,29.84177145741436,33.71546842827728,18.74142072752231
Caroline Lucas,1960-12-09,2015-05-27,3930,F,"Brighton, Pavilion",3366,True,Lucas,E14000598,54676,7967,14.57129270612335,44.82059598621529,10.3192300638074
Christopher Pincher,1969-09-24,2015-05-27,4075,M,Tamworth,3794,True,Pincher,E14000986,47174,11302,23.95811251960826,36.78540709505528,15.92191662995364
Pete Wishart,1962-03-09,2015-05-27,1440,M,Perth and North Perthshire,2316,False,Wishart,S14000054,54200,9641,17.78782287822878,32.80254124397991,20.01741981760426
Kevin Brennan,1959-10-16,2015-05-27,1400,M,Cardiff West,3392,False,Brennan,W07000079,43792,6789,15.50283156740957,39.4443406901249,14.30125127709361
Edward Leigh,1950-07-20,2015-05-27,345,M,Gainsborough,3492,True,Leigh,E14000707,49261,15449,31.36152331458963,31.32066420261887,20.99674004295729
David Davis,1948-12-23,2015-05-27,373,M,Haltemprice and Howden,3510,True,Davis,E14000724,48757,16195,33.21574338043768,30.80468599961591,21.19657926546843
Ian Austin,1965-03-06,2015-05-27,1511,M,Dudley North,3451,True,Austin,E14000671,37992,4181,11.00494841019162,37.56063926715753,18.38754955797976
